Partner Data Point File	- compression			
Start of Test Mon 10 Sep 2018 15:31:06				
Time ( min )	Stress ( psi )	Position ( in )	Load ( lbf )	Zone
0.15333	312.7865	0.0235	3930.6	Speed 1
0.155	316.264		0.0238	3974.3	Speed 1
0.15667	319.7336	0.0238	4017.9	Speed 1
0.15833	323.2191	0.0238	4061.7	Speed 1
0.16	326.7046	0.024	4105.5	Speed 1
0.16167	330.1741	0.024	4149.1	Speed 1
0.16333	333.6755	0.024	4193.1	Speed 1
0.165	337.1531	0.0243	4236.8	Speed 1
0.16667	340.6306	0.0243	4280.5	Speed 1
0.16833	344.1081	0.0243	4324.2	Speed 1
0.17	347.6095	0.0245	4368.2	Speed 1
0.17167	351.095		0.0245	4412	Speed 1
0.17333	354.5964	0.0245	4456	Speed 1
0.175	358.1058	0.0245	4500.1	Speed 1
0.17667	361.5912	0.0247	4543.9	Speed 1
0.17833	365.0847	0.0247	4587.8	Speed 1
0.18	368.5702	0.0247	4631.6	Speed 1
0.18167	372.0795	0.025	4675.7	Speed 1
0.18333	375.5571	0.025	4719.4	Speed 1
0.185	379.0664	0.025	4763.5	Speed 1
0.18667	382.5599	0.025	4807.4	Speed 1
0.18833	386.0613	0.0253	4851.4	Speed 1
0.19	389.5547	0.0253	4895.3	Speed 1
0.19167	393.0481	0.0253	4939.2	Speed 1
0.19333	396.5575	0.0253	4983.3	Speed 1
0.195	400.043		0.0255	5027.1	Speed 1
0.19667	403.5364	0.0255	5071	Speed 1
0.19833	407.0458	0.0255	5115.1	Speed 1
0.2	410.5551	0.0255	5159.2	Speed 1
0.20167	414.0406	0.0258	5203	Speed 1
0.20333	417.55		0.0258	5247.1	Speed 1
0.205	421.0434	0.0258	5291	Speed 1
0.20667	424.5448	0.0258	5335	Speed 1
0.20833	428.0383	0.026	5378.9	Speed 1
0.21	431.5317	0.026	5422.8	Speed 1
0.21167	435.0411	0.026	5466.9	Speed 1
0.21333	438.5345	0.026	5510.8	Speed 1
0.215	442.0359	0.0263	5554.8	Speed 1
0.21667	445.5373	0.0263	5598.8	Speed 1
0.21833	449.0387	0.0263	5642.8	Speed 1
0.22	452.556		0.0263	5687	Speed 1
0.22167	456.0415	0.0265	5730.8	Speed 1
0.22333	459.5429	0.0265	5774.8	Speed 1
0.225	463.0284	0.0265	5818.6	Speed 1
0.22667	466.5298	0.0265	5862.6	Speed 1
0.22833	470.0471	0.0267	5906.8	Speed 1
0.23	473.5406	0.0267	5950.7	Speed 1
0.23167	477.042		0.0267	5994.7	Speed 1
0.23333	480.5513	0.0267	6038.8	Speed 1
0.235	484.0527	0.0267	6082.8	Speed 1
0.23667	487.5462	0.027	6126.7	Speed 1
0.23833	491.0476	0.027	6170.7	Speed 1
0.24	494.541		0.027	6214.6	Speed 1
0.24167	498.0583	0.027	6258.8	Speed 1
0.24333	501.5677	0.0273	6302.9	Speed 1
0.245	505.0373	0.0273	6346.5	Speed 1
0.24667	508.5387	0.0273	6390.5	Speed 1
0.24833	512.0321	0.0273	6434.4	Speed 1
0.25	515.5574	0.0273	6478.7	Speed 1
0.25167	519.0508	0.0275	6522.6	Speed 1
0.25333	522.5284	0.0275	6566.3	Speed 1
0.255	526.0377	0.0275	6610.4	Speed 1
0.25667	529.555		0.0275	6654.6	Speed 1
0.25833	533.0485	0.0275	6698.5	Speed 1
0.26	536.5578	0.0278	6742.6	Speed 1
0.26167	540.0354	0.0278	6786.3	Speed 1
0.26333	543.5447	0.0278	6830.4	Speed 1
0.265	547.0541	0.0278	6874.5	Speed 1
0.26667	550.5396	0.0278	6918.3	Speed 1
0.26833	554.041		0.028	6962.3	Speed 1
0.27	557.5344	0.028	7006.2	Speed 1
0.27167	561.0438	0.028	7050.3	Speed 1
0.27333	564.5292	0.028	7094.1	Speed 1
0.275	568.0386	0.028	7138.2	Speed 1
0.27667	571.54		0.0283	7182.2	Speed 1
0.27833	575.0414	0.0283	7226.2	Speed 1
0.28	578.5348	0.0283	7270.1	Speed 1
0.28167	582.0283	0.0283	7314	Speed 1
0.28333	585.5297	0.0283	7358	Speed 1
0.285	589.047		0.0285	7402.2	Speed 1
0.28667	592.5325	0.0285	7446	Speed 1
0.28833	596.0339	0.0285	7490	Speed 1
0.29	599.5353	0.0285	7534	Speed 1
0.29167	603.0367	0.0285	7578	Speed 1
0.29333	606.554		0.0287	7622.2	Speed 1
0.295	610.0315	0.0287	7665.9	Speed 1
0.29667	613.5409	0.0287	7710	Speed 1
0.29833	617.0503	0.0287	7754.1	Speed 1
0.3	620.5437	0.0287	7798	Speed 1
0.30167	624.0371	0.0287	7841.9	Speed 1
0.30333	627.5385	0.029	7885.9	Speed 1
0.305	631.0399	0.029	7929.9	Speed 1
0.30667	634.5413	0.029	7973.9	Speed 1
0.30833	638.0348	0.029	8017.8	Speed 1
0.31	641.5441	0.029	8061.9	Speed 1
0.31167	645.0376	0.0293	8105.8	Speed 1
0.31333	648.5549	0.0293	8150	Speed 1
0.315	652.0483	0.0293	8193.9	Speed 1
0.31667	655.5418	0.0293	8237.8	Speed 1
0.31833	659.0352	0.0293	8281.7	Speed 1
0.32	662.5366	0.0295	8325.7	Speed 1
0.32167	666.038		0.0295	8369.7	Speed 1
0.32333	669.5553	0.0295	8413.9	Speed 1
0.325	673.0647	0.0295	8458	Speed 1
0.32667	676.5502	0.0295	8501.8	Speed 1
0.32833	680.0516	0.0295	8545.8	Speed 1
0.33	683.545		0.0297	8589.7	Speed 1
0.33167	687.0544	0.0297	8633.8	Speed 1
0.33333	690.5558	0.0297	8677.8	Speed 1
0.335	694.0731	0.0297	8722	Speed 1
0.33667	697.5666	0.0297	8765.9	Speed 1
0.33833	701.052		0.0297	8809.7	Speed 1
0.34	704.5375	0.03	8853.5	Speed 1
0.34167	708.0548	0.03	8897.7	Speed 1
0.34333	711.5483	0.03	8941.6	Speed 1
0.345	715.0497	0.03	8985.6	Speed 1
0.34667	718.575		0.03	9029.9	Speed 1
0.34833	722.0525	0.0302	9073.6	Speed 1
0.35	725.5459	0.0302	9117.5	Speed 1
0.35167	729.0553	0.0302	9161.6	Speed 1
0.35333	732.5726	0.0302	9205.8	Speed 1
0.355	736.074		0.0302	9249.8	Speed 1
0.35667	739.5913	0.0302	9294	Speed 1
0.35833	743.0927	0.0305	9338	Speed 1
0.36	746.5862	0.0305	9381.9	Speed 1
0.36167	750.1035	0.0305	9426.1	Speed 1
0.36333	753.6287	0.0305	9470.4	Speed 1
0.365	757.1301	0.0305	9514.4	Speed 1
0.36667	760.6316	0.0305	9558.4	Speed 1
0.36833	764.133		0.0308	9602.4	Speed 1
0.37	767.6105	0.0308	9646.1	Speed 1
0.37167	771.1278	0.0308	9690.3	Speed 1
0.37333	774.6212	0.0308	9734.2	Speed 1
0.375	778.1067	0.0308	9778	Speed 1
0.37667	781.6002	0.0308	9821.9	Speed 1
0.37833	785.0857	0.031	9865.7	Speed 1
0.38	788.603		0.031	9909.9	Speed 1
0.38167	792.0885	0.031	9953.7	Speed 1
0.38333	795.5899	0.031	9997.7	Speed 1
0.385	799.0992	0.031	10041.8	Speed 1
0.38667	802.5847	0.0313	10085.6	Speed 1
0.38833	806.0781	0.0313	10129.5	Speed 1
0.39	809.5875	0.0313	10173.6	Speed 1
0.39167	813.0889	0.0313	10217.6	Speed 1
0.39333	816.5744	0.0313	10261.4	Speed 1
0.395	820.0599	0.0313	10305.2	Speed 1
0.39667	823.5772	0.0313	10349.4	Speed 1
0.39833	827.0706	0.0315	10393.3	Speed 1
0.4	830.5879	0.0315	10437.5	Speed 1
0.40167	834.0893	0.0315	10481.5	Speed 1
0.40333	837.5828	0.0315	10525.4	Speed 1
0.405	841.0683	0.0315	10569.2	Speed 1
0.40667	844.5697	0.0315	10613.2	Speed 1
0.40833	848.0631	0.0318	10657.1	Speed 1
0.41	851.5725	0.0318	10701.2	Speed 1
0.41167	855.0739	0.0318	10745.2	Speed 1
0.41333	858.5753	0.0318	10789.2	Speed 1
0.415	862.0847	0.0318	10833.3	Speed 1
0.41667	865.5781	0.0318	10877.2	Speed 1
0.41833	869.0715	0.0318	10921.1	Speed 1
0.42	872.557		0.032	10964.9	Speed 1
0.42167	876.0664	0.032	11009	Speed 1
0.42333	879.5837	0.032	11053.2	Speed 1
0.425	883.0692	0.032	11097	Speed 1
0.42667	886.5626	0.032	11140.9	Speed 1
0.42833	890.0481	0.0322	11184.7	Speed 1
0.43	893.5495	0.0322	11228.7	Speed 1
0.43167	897.0668	0.0322	11272.9	Speed 1
0.43333	900.5682	0.0322	11316.9	Speed 1
0.435	904.0696	0.0322	11360.9	Speed 1
0.43667	907.571		0.0322	11404.9	Speed 1
0.43833	911.0565	0.0322	11448.7	Speed 1
0.44	914.5659	0.0325	11492.8	Speed 1
0.44167	918.0514	0.0325	11536.6	Speed 1
0.44333	921.5607	0.0325	11580.7	Speed 1
0.445	925.0621	0.0325	11624.7	Speed 1
0.44667	928.5635	0.0325	11668.7	Speed 1
0.44833	932.0729	0.0325	11712.8	Speed 1
0.45	935.5663	0.0328	11756.7	Speed 1
0.45167	939.0677	0.0328	11800.7	Speed 1
0.45333	942.5691	0.0328	11844.7	Speed 1
0.455	946.0785	0.0328	11888.8	Speed 1
0.45667	949.5799	0.0328	11932.8	Speed 1
0.45833	953.0733	0.0328	11976.7	Speed 1
0.46	956.5906	0.0328	12020.9	Speed 1
0.46167	960.1159	0.033	12065.2	Speed 1
0.46333	963.5934	0.033	12108.9	Speed 1
0.465	967.0869	0.033	12152.8	Speed 1
0.46667	970.5803	0.033	12196.7	Speed 1
0.46833	974.0976	0.033	12240.9	Speed 1
0.47	977.5911	0.033	12284.8	Speed 1
0.47167	981.0925	0.0333	12328.8	Speed 1
0.47333	984.6098	0.0333	12373	Speed 1
0.475	988.1032	0.0333	12416.9	Speed 1
0.47667	991.6206	0.0333	12461.1	Speed 1
0.47833	995.0901	0.0333	12504.7	Speed 1
0.48	998.5995	0.0333	12548.8	Speed 1
0.48167	1002.109	0.0333	12592.9	Speed 1
0.48333	1005.618	0.0333	12637	Speed 1
0.485	1009.128	0.0335	12681.1	Speed 1
0.48667	1012.605	0.0335	12724.8	Speed 1
0.48833	1016.106	0.0335	12768.8	Speed 1
0.49	1019.608	0.0335	12812.8	Speed 1
0.49167	1023.125	0.0335	12857	Speed 1
0.49333	1026.627	0.0335	12901	Speed 1
0.495	1030.12		0.0338	12944.9	Speed 1
0.49667	1033.606	0.0338	12988.7	Speed 1
0.49833	1037.107	0.0338	13032.7	Speed 1
0.5	1040.616	0.0338	13076.8	Speed 1
0.50167	1044.126	0.0338	13120.9	Speed 1
0.50333	1047.627	0.0338	13164.9	Speed 1
0.505	1051.16		0.0338	13209.3	Speed 1
0.50667	1054.63		0.034	13252.9	Speed 1
0.50833	1058.107	0.034	13296.6	Speed 1
0.51	1061.609	0.034	13340.6	Speed 1
0.51167	1065.086	0.034	13384.3	Speed 1
0.51333	1068.62		0.034	13428.7	Speed 1
0.515	1072.145	0.034	13473	Speed 1
0.51667	1075.662	0.034	13517.2	Speed 1
0.51833	1079.14		0.0343	13560.9	Speed 1
0.52	1082.633	0.0343	13604.8	Speed 1
0.52167	1086.142	0.0343	13648.9	Speed 1
0.52333	1089.636	0.0343	13692.8	Speed 1
0.525	1093.153	0.0343	13737	Speed 1
0.52667	1096.663	0.0343	13781.1	Speed 1
0.52833	1100.156	0.0343	13825	Speed 1
0.53	1103.649	0.0345	13868.9	Speed 1
0.53167	1107.127	0.0345	13912.6	Speed 1
0.53333	1110.636	0.0345	13956.7	Speed 1
0.535	1114.162	0.0345	14001	Speed 1
0.53667	1117.703	0.0345	14045.5	Speed 1
0.53833	1121.196	0.0345	14089.4	Speed 1
0.54	1124.698	0.0345	14133.4	Speed 1
0.54167	1128.151	0.0348	14176.8	Speed 1
0.54333	1131.645	0.0348	14220.7	Speed 1
0.545	1135.162	0.0348	14264.9	Speed 1
0.54667	1138.703	0.0348	14309.4	Speed 1
0.54833	1142.252	0.0348	14354	Speed 1
0.55	1145.786	0.0348	14398.4	Speed 1
0.55167	1149.263	0.0348	14442.1	Speed 1
0.55333	1152.741	0.035	14485.8	Speed 1
0.555	1156.218	0.035	14529.5	Speed 1
0.55667	1159.72		0.035	14573.5	Speed 1
0.55833	1163.229	0.035	14617.6	Speed 1
0.56	1166.699	0.035	14661.2	Speed 1
0.56167	1170.2		0.035	14705.2	Speed 1
0.56333	1173.693	0.035	14749.1	Speed 1
0.565	1177.179	0.0352	14792.9	Speed 1
0.56667	1180.648	0.0352	14836.5	Speed 1
0.56833	1184.158	0.0352	14880.6	Speed 1
0.57	1187.667	0.0352	14924.7	Speed 1
0.57167	1191.169	0.0352	14968.7	Speed 1
0.57333	1194.686	0.0352	15012.9	Speed 1
0.575	1198.179	0.0352	15056.8	Speed 1
0.57667	1201.689	0.0355	15100.9	Speed 1
0.57833	1205.198	0.0355	15145	Speed 1
0.58	1208.699	0.0355	15189	Speed 1
0.58167	1212.193	0.0355	15232.9	Speed 1
0.58333	1215.702	0.0355	15277	Speed 1
0.585	1219.204	0.0355	15321	Speed 1
0.58667	1222.681	0.0355	15364.7	Speed 1
0.58833	1226.198	0.0358	15408.9	Speed 1
0.59	1229.684	0.0358	15452.7	Speed 1
0.59167	1233.217	0.0358	15497.1	Speed 1
0.59333	1236.727	0.0358	15541.2	Speed 1
0.595	1240.228	0.0358	15585.2	Speed 1
0.59667	1243.721	0.0358	15629.1	Speed 1
0.59833	1247.215	0.0358	15673	Speed 1
0.6	1250.732	0.0358	15717.2	Speed 1
0.60167	1254.218	0.036	15761	Speed 1
0.60333	1257.719	0.036	15805	Speed 1
0.605	1261.22		0.036	15849	Speed 1
0.60667	1264.722	0.036	15893	Speed 1
0.60833	1268.223	0.036	15937	Speed 1
0.61	1271.733	0.036	15981.1	Speed 1
0.61167	1275.234	0.036	16025.1	Speed 1
0.61333	1278.735	0.0363	16069.1	Speed 1
0.615	1282.205	0.0363	16112.7	Speed 1
0.61667	1285.698	0.0363	16156.6	Speed 1
0.61833	1289.224	0.0363	16200.9	Speed 1
0.62	1292.709	0.0363	16244.7	Speed 1
0.62167	1296.219	0.0363	16288.8	Speed 1
0.62333	1299.712	0.0363	16332.7	Speed 1
0.625	1303.213	0.0365	16376.7	Speed 1
0.62667	1306.691	0.0365	16420.4	Speed 1
0.62833	1310.192	0.0365	16464.4	Speed 1
0.63	1313.71		0.0365	16508.6	Speed 1
0.63167	1317.211	0.0365	16552.6	Speed 1
0.63333	1320.704	0.0365	16596.5	Speed 1
0.635	1324.19		0.0365	16640.3	Speed 1
0.63667	1327.691	0.0368	16684.3	Speed 1
0.63833	1331.209	0.0368	16728.5	Speed 1
0.64	1334.71		0.0368	16772.5	Speed 1
0.64167	1338.243	0.0368	16816.9	Speed 1
0.64333	1341.713	0.0368	16860.5	Speed 1
0.645	1345.238	0.0368	16904.8	Speed 1
0.64667	1348.724	0.0368	16948.6	Speed 1
0.64833	1352.233	0.0368	16992.7	Speed 1
0.65	1355.734	0.037	17036.7	Speed 1
0.65167	1359.244	0.037	17080.8	Speed 1
0.65333	1362.753	0.037	17124.9	Speed 1
0.655	1366.255	0.037	17168.9	Speed 1
0.65667	1369.74		0.037	17212.7	Speed 1
0.65833	1373.241	0.037	17256.7	Speed 1
0.66	1376.735	0.037	17300.6	Speed 1
0.66167	1380.236	0.0372	17344.6	Speed 1
0.66333	1383.746	0.0372	17388.7	Speed 1
0.665	1387.263	0.0372	17432.9	Speed 1
0.66667	1390.748	0.0372	17476.7	Speed 1
0.66833	1394.25		0.0372	17520.7	Speed 1
0.67	1397.751	0.0372	17564.7	Speed 1
0.67167	1401.229	0.0372	17608.4	Speed 1
0.67333	1404.746	0.0372	17652.6	Speed 1
0.675	1408.239	0.0375	17696.5	Speed 1
0.67667	1411.781	0.0375	17741	Speed 1
0.67833	1415.274	0.0375	17784.9	Speed 1
0.68	1418.768	0.0375	17828.8	Speed 1
0.68167	1422.269	0.0375	17872.8	Speed 1
0.68333	1425.762	0.0375	17916.7	Speed 1
0.685	1429.28		0.0375	17960.9	Speed 1
0.68667	1432.781	0.0378	18004.9	Speed 1
0.68833	1436.275	0.0378	18048.8	Speed 1
0.69	1439.776	0.0378	18092.8	Speed 1
0.69167	1443.269	0.0378	18136.7	Speed 1
0.69333	1446.771	0.0378	18180.7	Speed 1
0.695	1450.264	0.0378	18224.6	Speed 1
0.69667	1453.774	0.0378	18268.7	Speed 1
0.69833	1457.299	0.0378	18313	Speed 1
0.7	1460.761	0.038	18356.5	Speed 1
0.70167	1464.246	0.038	18400.3	Speed 1
0.70333	1467.779	0.038	18444.7	Speed 1
0.705	1471.289	0.038	18488.8	Speed 1
0.70667	1474.782	0.038	18532.7	Speed 1
0.70833	1478.275	0.038	18576.6	Speed 1
0.71	1481.785	0.038	18620.7	Speed 1
0.71167	1485.286	0.0383	18664.7	Speed 1
0.71333	1488.772	0.0383	18708.5	Speed 1
0.715	1492.273	0.0383	18752.5	Speed 1
0.71667	1495.782	0.0383	18796.6	Speed 1
0.71833	1499.292	0.0383	18840.7	Speed 1
0.72	1502.809	0.0383	18884.9	Speed 1
0.72167	1506.279	0.0383	18928.5	Speed 1
0.72333	1509.796	0.0383	18972.7	Speed 1
0.725	1513.282	0.0385	19016.5	Speed 1
0.72667	1516.791	0.0385	19060.6	Speed 1
0.72833	1520.292	0.0385	19104.6	Speed 1
0.73	1523.818	0.0385	19148.9	Speed 1
0.73167	1527.319	0.0385	19192.9	Speed 1
0.73333	1530.812	0.0385	19236.8	Speed 1
0.735	1534.306	0.0385	19280.7	Speed 1
0.73667	1537.799	0.0388	19324.6	Speed 1
0.73833	1541.293	0.0388	19368.5	Speed 1
0.74	1544.81		0.0388	19412.7	Speed 1
0.74167	1548.335	0.0388	19457	Speed 1
0.74333	1551.837	0.0388	19501	Speed 1
0.745	1555.354	0.0388	19545.2	Speed 1
0.74667	1558.855	0.0388	19589.2	Speed 1
0.74833	1562.333	0.0388	19632.9	Speed 1
0.75	1565.826	0.039	19676.8	Speed 1
0.75167	1569.336	0.039	19720.9	Speed 1
0.75333	1572.837	0.039	19764.9	Speed 1
0.755	1576.362	0.039	19809.2	Speed 1
0.75667	1579.864	0.039	19853.2	Speed 1
0.75833	1583.365	0.039	19897.2	Speed 1
0.76	1586.843	0.039	19940.9	Speed 1
0.76167	1590.36		0.0393	19985.1	Speed 1
0.76333	1593.838	0.0393	20028.8	Speed 1
0.765	1597.363	0.0393	20073.1	Speed 1
0.76667	1600.872	0.0393	20117.2	Speed 1
0.76833	1604.382	0.0393	20161.3	Speed 1
0.77	1607.875	0.0393	20205.2	Speed 1
0.77167	1611.368	0.0393	20249.1	Speed 1
0.77333	1614.878	0.0393	20293.2	Speed 1
0.775	1618.371	0.0395	20337.1	Speed 1
0.77667	1621.881	0.0395	20381.2	Speed 1
0.77833	1625.422	0.0395	20425.7	Speed 1
0.78	1628.915	0.0395	20469.6	Speed 1
0.78167	1632.417	0.0395	20513.6	Speed 1
0.78333	1635.926	0.0395	20557.7	Speed 1
0.785	1639.459	0.0395	20602.1	Speed 1
0.78667	1642.945	0.0398	20645.9	Speed 1
0.78833	1646.422	0.0398	20689.6	Speed 1
0.79	1649.963	0.0398	20734.1	Speed 1
0.79167	1653.457	0.0398	20778	Speed 1
0.79333	1656.942	0.0398	20821.8	Speed 1
0.795	1660.412	0.0398	20865.4	Speed 1
0.79667	1663.905	0.0398	20909.3	Speed 1
0.79833	1667.407	0.0398	20953.3	Speed 1
0.8	1670.932	0.0398	20997.6	Speed 1
0.80167	1674.386	0.04	21041	Speed 1
0.80333	1677.887	0.04	21085	Speed 1
0.805	1681.404	0.04	21129.2	Speed 1
0.80667	1684.898	0.04	21173.1	Speed 1
0.80833	1688.383	0.04	21216.9	Speed 1
0.81	1691.901	0.04	21261.1	Speed 1
0.81167	1695.402	0.04	21305.1	Speed 1
0.81333	1698.888	0.0402	21348.9	Speed 1
0.815	1702.389	0.0402	21392.9	Speed 1
0.81667	1705.906	0.0402	21437.1	Speed 1
0.81833	1709.416	0.0402	21481.2	Speed 1
0.82	1712.917	0.0402	21525.2	Speed 1
0.82167	1716.41		0.0402	21569.1	Speed 1
0.82333	1719.912	0.0402	21613.1	Speed 1
0.825	1723.397	0.0402	21656.9	Speed 1
0.82667	1726.907	0.0405	21701	Speed 1
0.82833	1730.376	0.0405	21744.6	Speed 1
0.83	1733.886	0.0405	21788.7	Speed 1
0.83167	1737.395	0.0405	21832.8	Speed 1
0.83333	1740.904	0.0405	21876.9	Speed 1
0.835	1744.398	0.0405	21920.8	Speed 1
0.83667	1747.899	0.0405	21964.8	Speed 1
0.83833	1751.393	0.0407	22008.7	Speed 1
0.84	1754.87		0.0407	22052.4	Speed 1
0.84167	1758.388	0.0407	22096.6	Speed 1
0.84333	1761.897	0.0407	22140.7	Speed 1
0.845	1765.398	0.0407	22184.7	Speed 1
0.84667	1768.884	0.0407	22228.5	Speed 1
0.84833	1772.401	0.0407	22272.7	Speed 1
0.85	1775.895	0.0407	22316.6	Speed 1
0.85167	1779.388	0.041	22360.5	Speed 1
0.85333	1782.873	0.041	22404.3	Speed 1
0.855	1786.383	0.041	22448.4	Speed 1
0.85667	1789.892	0.041	22492.5	Speed 1
0.85833	1793.378	0.041	22536.3	Speed 1
0.86	1796.879	0.041	22580.3	Speed 1
0.86167	1800.38		0.041	22624.3	Speed 1
0.86333	1803.874	0.041	22668.2	Speed 1
0.865	1807.343	0.0413	22711.8	Speed 1
0.86667	1810.821	0.0413	22755.5	Speed 1
0.86833	1814.338	0.0413	22799.7	Speed 1
0.87	1817.848	0.0413	22843.8	Speed 1
0.87167	1821.365	0.0413	22888	Speed 1
0.87333	1824.858	0.0413	22931.9	Speed 1
0.875	1828.368	0.0413	22976	Speed 1
0.87667	1831.869	0.0413	23020	Speed 1
0.87833	1835.371	0.0415	23064	Speed 1
0.88	1838.888	0.0415	23108.2	Speed 1
0.88167	1842.389	0.0415	23152.2	Speed 1
0.88333	1845.899	0.0415	23196.3	Speed 1
0.885	1849.384	0.0415	23240.1	Speed 1
0.88667	1852.893	0.0415	23284.2	Speed 1
0.88833	1856.403	0.0415	23328.3	Speed 1
0.89	1859.912	0.0418	23372.4	Speed 1
0.89167	1863.382	0.0418	23416	Speed 1
0.89333	1866.883	0.0418	23460	Speed 1
0.895	1870.393	0.0418	23504.1	Speed 1
0.89667	1873.878	0.0418	23547.9	Speed 1
0.89833	1877.379	0.0418	23591.9	Speed 1
0.9	1880.913	0.0418	23636.3	Speed 1
0.90167	1884.446	0.0418	23680.7	Speed 1
0.90333	1887.947	0.042	23724.7	Speed 1
0.905	1891.441	0.042	23768.6	Speed 1
0.90667	1894.942	0.042	23812.6	Speed 1
0.90833	1898.436	0.042	23856.5	Speed 1
0.91	1901.945	0.042	23900.6	Speed 1
0.91167	1905.47		0.042	23944.9	Speed 1
0.91333	1908.972	0.042	23988.9	Speed 1
0.915	1912.481	0.042	24033	Speed 1
0.91667	1915.966	0.0422	24076.8	Speed 1
0.91833	1919.46		0.0422	24120.7	Speed 1
0.92	1922.961	0.0422	24164.7	Speed 1
0.92167	1926.463	0.0422	24208.7	Speed 1
0.92333	1929.988	0.0422	24253	Speed 1
0.925	1933.505	0.0422	24297.2	Speed 1
